Nº do questionário,Data ,Idade ,Gênero,P1: Qual é o seu interesse por astronomia? Grande/Razoável/Pequeno/Nenhum,"P2: Algum professor que você já teve ou tem já trabalhou com o assunto ""Buraco Negro""  em sala de aula? Sim-Qual disciplina?/Não","P3: Por quais meios você já teve algum contato com o tema ""Buraco Negro""?","P4: No que diz respeito à palestra sobre ""Buraco Negro"" que você assistiu, você conseguiu compreender: Tudo ou quase tudo /A maior parte / Muito pouco / Nada ou quase nada",P5: Você sabe qual tipo de estrela pode se transformar em um Buraco Negro?  Sim- Qual tipo? / Não,P6: Você sabe onde está o Buraco Negro Supermassivo mais próximo da Terra? Sim- Onde? / Não,P7: Você consegue explicar com suas palavras em no máximo duas linhas o que é um Buraco Negro?,P8: Qual você acha que é o aspecto maus fascinante no estudo do Buracos Negros?,"P9: Qual você acha que é a chance ou probabilidade de no futuro você seguir uma carreira profissional na área da astronomia ou física,numa escala de 0%(NÃO) até 100 (SIM)%"
1,5/14/2019,14,Masculino,Razoável,Não,Internet e Livros,A maior parte,Não,Não,"É uma estrela que perdeu o seu ""combustivel"" e diminuiu de tamanho,mas não perdeu sua massa.",Não respondeu,10%
2,5/14/2019,14,Masculino,Razoável,Não,Livros,Tudo ou quase tudo,Sim: Gigante,Não,"É uma estrela que diminuiu de tamanho,mas não perdeu sua massa.",A parte em em a estrela diminui seu tamanho.,80%
3,5/14/2019,14,Masculino,Grande,Sim. Ciência,Internet e Livros,Tudo ou quase tudo,Não,Não,"Uma camada que suga tudo,e uma estrela que explodiu e se transformou em um buraco negro.",As camadas que parece lençois.,50%
4,5/14/2019,14,Masculino,Razoável,Não,Internet,Tudo ou quase tudo,Não,Não,É uma ex estrela.,A estrela morta que conseguimos ver.,50%
5,5/14/2019,13,Masculino,Razoável,Sim. Ciência,Internet,A maior parte,Sim: Quase toda,Não,Uma estrela que perdeu o brilho,A distorção do espaço tempo.,0%
6,5/14/2019,13,Masculino,Razoável,Não,"Internet, TV, Jogos e Livros",Muito pouco,"Sim, uma estrela supermassiva","Sim,no centro da galáxia.",Uma supermassiva morta.,Não respondeu,45%
7,5/14/2019,14,Masculino,Grande,Não,Internet,Muito pouco,Não,Não,O buraco negro é um ser Celeste.,Não respondeu,50%
8,5/14/2019,14,Masculino,Razoável,Não,Internet e TV,Tudo ou quase tudo,"Sim,apenas estrelas Supermassivas",Sim: Via Láctea (Sargitarius A*),"Buraco Negro é o corpo com maior densidade existente,capaz de sugar tudo encontra.",A imensidão do universo.,10%
9,5/14/2019,14,Masculino,Razoável,Não,Internet e TV,A maior parte,Não,Sim: A bilhões de anos luz.,"Buraco Negro é uma ex estrela que se contraiu r virou uma estrela pequena,mas com massa de uma estrela normal.",A estrutura de um Buraco Negro.,80%
10,5/14/2019,14,Masculino,Razoável,Não,Palestra,Tudo ou quase tudo,Não,Não,"Buraco Negro é uma estrela que morreu,mas não perdeu sua massa.",De uma estrela morta em que conseguimos ver.,80%
11,5/14/2019,13,Masculino,Grande,Não,Internet,Tudo ou quase tudo,"Sim,todas no tempo certo.","Sim,no meio da galáxia.","Uma massa tão pesada que ""rasga"" o espaço,e com um campo gravitacional muito forte. ",A ciência.,80%
12,5/14/2019,13,Masculino,Grande,Não,"Internet, TV e Jogos",A maior parte,Não,Não,Um Buraco Negro é uma estrela que se originou e morreu.,As cores.,80%
13,5/14/2019,13,Feminino,Grande,Não,TV,Muito pouco,Não,Não,Não respondeu,Não respondeu,30%
14,5/14/2019,14,Feminino,Grande,Não,"Internet, TV, Livros e Revistas",Tudo ou quase tudo,Não,"Sim,Via Láctea.",Buraco Negro é uma estrela que se colapsou e perdeu o seu brilho mas não perdeu sua massa.,O campo gravitacional.,60%
15,5/14/2019,13,Feminino,Grande,Sim. Ciência,"Internet, TV e Livros",A maior parte,Não,Não,"É uma estrela que perdeu o sua ""força"" e se colapsou.",Saber para onde vão as coisas que conseguem passar por ele.,50%
16,5/14/2019,14,Feminino,Grande,Não,Livros,A maior parte,Não,Não,Buraco Negro é uma estrela morta por falta de combustivel.,O fato de sua massa estar comprimida e mesmo assim tem uma gravidade absurda.,90%
17,5/14/2019,14,Feminino,Grande,Não,Internet e TV,A maior parte,Não,Não,Estrelas que explodem.,Não respondeu,50%
18,5/14/2019,14,Feminino,Grande,Não,Internet e TV,A maior parte,Não,Não,"Esttrelas que por falta de combustivel,explodem.",Não respondeu,50%
19,5/14/2019,14,Feminino,Razoável,Não,Internet,A maior parte,Não,Não,Buraco Negro é uma estrela que morreu.,Tudo.,60%
20,5/14/2019,14,Feminino,Razoável,Não,Internet,Tudo ou quase tudo,Não,"Sim,no centro da galáxia.",É uma estrela que perdeu sua massa.,Tudo.,50%
21,5/14/2019,13,Feminino,Razoável,Sim. Ciência,Internet e TV,Tudo ou quase tudo,Não,Não,É uma estrela qye explode e só muda de tamanho.,A aparência.,50%
22,5/14/2019,14,Feminino,Razoável,Não,Internet e TV,Tudo ou quase tudo,Não,Não,"É uma estrela que ao longo dos tempo,ela se transfroma em um Buraco Negro",A luz vermelha.,60%
23,5/14/2019,12,Feminino,Nenhum,Não,Internet,Tudo ou quase tudo,"Sim,as que tem mais massa.",Não,Não respondeu,A parte que suga.,0%
24,5/14/2019,13,Feminino,Grande,Não,Internet,A maior parte,"Sim,as que tem mais massa.",Não,"É uma estrela que morreu e ela diminuiu,mas não perdeu a sua massa.",A parte que você pode conseguir achar outro.,60%
25,5/14/2019,15,Feminino,Razoável,Não,Internet,A maior parte,"Sim,uma ex-estrela.",Não,Uma estrela se torna uma Buraco Negro depois que morre.,Quando algo entra no Buraco negro e não sai mais.,40%
26,5/14/2019,13,Feminino,Razoável,Não,Internet e Livros,A maior parte,Não,Não,É uma estrela que ao longo dos anos vai se transformando em  um Buraco Negro.,A luz vermelha.,70%
27,5/14/2019,13,Feminino,Razoável,Não,Internet e TV,A maior parte,Não,Não,Não respondeu,Não respondeu,0%
28,5/14/2019,13,Feminino,Razoável,Não,Internet,Muito pouco,Não,Não,Não respondeu,Não respondeu,40%
29,5/14/2019,15,Feminino,Pequeno,Não,Jogos,Muito pouco,Não,Não,Não respondeu,Não respondeu,0%
30,5/14/2019,13,Feminino,Grande,Não,Livros,A maior parte,Não,Não,Buraco Negro é uma estrela morta por falta de combustivel.,Saber para onde vão as coisas que conseguem passar por ele.,5%
31,5/14/2019,14,Feminino,Razoável,Não,Internet,A maior parte,Não,Não,Não respondeu,"Que suga todas as coisas,por isso ninguém consegue chegar.",60%
32,5/14/2019,13,Feminino,Grande,Não,"Internet, TV e Livros",Tudo ou quase tudo,Não,"Sim,no centro da via lactea","Era uma estrela que com a força de seu magnetismo,perdeu sua massa mas não perdeu seu peso.",Como as estrelas se tornaram um Buraco Negro.,70%
33,5/14/2019,14,Feminino,Razoável,Sim. Ciência,Internet e TV,A maior parte,"Sim,estrelas com dimensões 4x do que o Sol.",Não,"Uma estrela que ""morreu"" e sua massa ainda tem uma gravidade que puxa qualquer tipo de massa no espaço.","O fato de sermos puxados por ele,e virarmos um espaguete.",60%
34,5/14/2019,14,Feminino,Razoável,Não,TV e Livros,Muito pouco,Não,Não,É uma estrela que morreu.,"Como ele ""suga"" as coisas.",50%
35,5/14/2019,14,Feminino,Razoável,Não,Internet e TV,Muito pouco,Não,Não,O Buraco Negro é uma estrela que morreu e perdeu todo o seu brilho.,A estrutura de um Buraco Negro.,10%
36,5/14/2019,13,Feminino,Grande,Não,"Internet, TV e Livros",A maior parte,Não,Não,É uma estrela que perdeu seu combustivel.,Saber para onde vão as coisas que passa pelo Buraco Negro.,90%
37,5/14/2019,15,Feminino,Razoável,Não,"Internet, TV e Livros",Tudo ou quase tudo,"Sim,as que perdem o brilho.",Não,Buraco Negro é uma estrela que perdeu o brilho e se tornou um Buraco Negro.,Como ele é formado.,40%
38,5/14/2019,13,Feminino,Grande,Não,"Internet, TV e Livros",A maior parte,Não,Não,É uma estrela que perdeu seu combustivel.,"È saber para onde vão as coisas,após passar por ele.",50%
39,5/14/2019,14,Feminino,Grande,Não,"Internet, TV e Livros",A maior parte,Não,"Sim,Via Láctea.","O buraco Negro é uma ex-estrela que perdeu seu tamanho,mas ainda tem sua massa.",Não respondeu,0%
40,5/14/2019,14,Feminino,Grande,Não,Livros,A maior parte,Não,Sim,Não respondeu,O fato de sermos puxados por ele.,70%
Total,,14=21  ,,,,,,,,,,
,,13=15,,,,,,,,,,
